Industry,Year-Month,Value,percentage change
Accommodation,2014-01,1877.7,
Accommodation,2014-02,1879.6,0.10118762315598495
Accommodation,2014-03,1885.8,0.3298574164716017
Accommodation,2014-04,1889.5,0.19620320288471493
Accommodation,2014-05,1895.4,0.312251918496953
Accommodation,2014-06,1898.3,0.15300200485384163
Accommodation,2014-07,1893.4,-0.2581256914080954
Accommodation,2014-08,1896.3,0.15316362099926373
Accommodation,2014-09,1900.2,0.20566366081316012
Accommodation,2014-10,1900.7,0.026313019682144834
Accommodation,2014-11,1903.1,0.12626926921659454
Accommodation,2014-12,1908.3,0.2732384005044386
Accommodation,2015-01,1916.6,0.4349420950584326
Accommodation,2015-02,1918.8,0.11478660127308693
Accommodation,2015-03,1918.3,-0.026057952887226232
Accommodation,2015-04,1914.9,-0.17724026481780175
Accommodation,2015-05,1924.6,0.5065538670426584
Accommodation,2015-06,1909.9,-0.7637950743011435
Accommodation,2015-07,1919.1,0.4817006125975132
Accommodation,2015-08,1921.1,0.10421551769057569
Accommodation,2015-09,1929.4,0.43204414137734126
Accommodation,2015-10,1932.1,0.13993987768217142
Accommodation,2015-11,1937.5,0.2794886393043816
Accommodation,2015-12,1939.4,0.09806451612903722
Accommodation,2016-01,1943.1,0.19078065381044063
Accommodation,2016-02,1950.7,0.39112757964079314
Accommodation,2016-03,1946.7,-0.20505459578612495
Accommodation,2016-04,1948.6,0.09760106847485073
Accommodation,2016-05,1948.0,-0.03079133737041717
Accommodation,2016-06,1956.7,0.446611909650918
Accommodation,2016-07,1966.5,0.5008432565033027
Accommodation,2016-08,1969.6,0.1576404780066154
Accommodation,2016-09,1973.4,0.19293257514216844
Accommodation,2016-10,1967.7,-0.28884159318942615
Accommodation,2016-11,1978.4,0.5437820806017291
Accommodation,2016-12,1982.9,0.2274565305297127
Accommodation,2017-01,1986.1,0.16137979726662532
Accommodation,2017-02,1991.8,0.28699461255727865
Accommodation,2017-03,1997.5,0.2861733105733455
Accommodation,2017-04,2005.9,0.4205256570713356
Accommodation,2017-05,2007.0,0.05483822722966991
Accommodation,2017-06,2007.3,0.014947683109123311
Accommodation,2017-07,2005.5,-0.08967269466447769
Accommodation,2017-08,2003.9,-0.07978060334080661
Accommodation,2017-09,2004.6,0.0349318828284817
Accommodation,2017-10,2006.5,0.09478200139678705
Accommodation,2017-11,2013.7,0.35883379018191164
Accommodation,2017-12,2013.5,-0.009931966032683537
Accommodation,2018-01,2016.6,0.15396076483733534
Accommodation,2018-02,2019.7,0.15372409005256493
Accommodation,2018-03,2023.3,0.17824429370698613
Accommodation,2018-04,2023.5,0.009884841595408922
Accommodation,2018-05,2029.5,0.2965159377316562
Accommodation,2018-06,2034.7,0.2562207440256259
Accommodation,2018-07,2041.5,0.33420160220178907
Accommodation,2018-08,2045.2,0.18123928483957386
Accommodation,2018-09,2049.7,0.22002738118520604
Accommodation,2018-10,2043.1,-0.32199834122066395
Accommodation,2018-11,2045.0,0.09299593754588109
Accommodation,2018-12,2049.5,0.22004889975550945
Accommodation,2019-01,2065.2,0.7660404976823632
Accommodation,2019-02,2074.1,0.43095099748209353
Accommodation,2019-03,2073.2,-0.04339231473893257
Accommodation,2019-04,2072.2,-0.04823461315840438
Accommodation,2019-05,2068.7,-0.16890261557764852
Accommodation,2019-06,2071.7,0.1450186107217144
Accommodation,2019-07,2076.5,0.23169377805667413
Accommodation,2019-08,2081.1,0.22152660727183804
Accommodation,2019-09,2082.2,0.052856662342026794
Accommodation,2019-10,2092.8,0.5090769378542026
Accommodation,2019-11,2095.1,0.10990061162077236
Accommodation,2019-12,2118.2,1.1025726695623073
Accommodation,2020-01,2119.7,0.07081484279105599
Accommodation,2020-02,2117.5,-0.10378827192526474
Accommodation,2020-03,2056.3,-2.8902007083825176
Accommodation,2020-04,1196.7,-41.803238827019406
Accommodation,2020-05,1056.7,-11.698838472465944
Accommodation,2020-06,1234.5,16.825967635090365
Accommodation,2020-07,1242.1,0.6156338598622746
Accommodation,2020-08,1257.3,1.223733998872878
Accommodation,2020-09,1341.9,6.72870436649966
Accommodation,2020-10,1352.3,0.7750204933303362
Accommodation,2020-11,1350.5,-0.13310655919543946
Accommodation,2020-12,1331.8,-1.384672343576454
Accommodation,2021-01,1311.7,-1.5092356209641
Accommodation,2021-02,1332.5,1.5857284440039532
Accommodation,2021-03,1349.8,1.298311444652911
Accommodation,2021-04,1389.4,2.9337679656245452
Accommodation,2021-05,1404.2,1.0652080034547318
Accommodation,2021-06,1452.7,3.453923942458337
Accommodation,2021-07,1529.9,5.314242445102235
Accommodation,2021-08,1565.3,2.3138767239688773
Accommodation,2021-09,1593.5,1.8015715837219837
Accommodation,2021-10,1619.0,1.6002510197678177
Accommodation,2021-11,1638.0,1.1735639283508403
