Industry,Year-Month,Value,percentage change
Private education and health services,2014-01,21228.0,
Private education and health services,2014-02,21251.0,0.10834746561145803
Private education and health services,2014-03,21294.0,0.20234341913321074
Private education and health services,2014-04,21321.0,0.1267962806424272
Private education and health services,2014-05,21364.0,0.2016790957272141
Private education and health services,2014-06,21410.0,0.2153154839917626
Private education and health services,2014-07,21453.0,0.2008407286314906
Private education and health services,2014-08,21491.0,0.1771314035333038
Private education and health services,2014-09,21543.0,0.24196175143083032
Private education and health services,2014-10,21573.0,0.13925637097897958
Private education and health services,2014-11,21626.0,0.245677467204386
Private education and health services,2014-12,21678.0,0.2404513086100124
Private education and health services,2015-01,21741.0,0.2906172156103004
Private education and health services,2015-02,21789.0,0.22078101283289353
Private education and health services,2015-03,21832.0,0.19734728532745383
Private education and health services,2015-04,21906.0,0.3389519970685262
Private education and health services,2015-05,21958.0,0.2373778873367982
Private education and health services,2015-06,21998.0,0.18216595318334416
Private education and health services,2015-07,22053.0,0.2500227293390278
Private education and health services,2015-08,22094.0,0.18591574842425906
Private education and health services,2015-09,22131.0,0.16746628043813327
Private education and health services,2015-10,22215.0,0.3795580859427883
Private education and health services,2015-11,22260.0,0.2025658338960179
Private education and health services,2015-12,22323.0,0.2830188679245227
Private education and health services,2016-01,22335.0,0.05375621556242827
Private education and health services,2016-02,22403.0,0.30445489142600923
Private education and health services,2016-03,22450.0,0.20979333125028532
Private education and health services,2016-04,22505.0,0.24498886414254795
Private education and health services,2016-05,22565.0,0.2666074205732061
Private education and health services,2016-06,22618.0,0.2348770219366303
Private education and health services,2016-07,22666.0,0.212220355469106
Private education and health services,2016-08,22719.0,0.23383040677666944
Private education and health services,2016-09,22775.0,0.24648972225889132
Private education and health services,2016-10,22835.0,0.2634467618002123
Private education and health services,2016-11,22870.0,0.15327348368732174
Private education and health services,2016-12,22929.0,0.25797988631395263
Private education and health services,2017-01,22946.0,0.07414191635046752
Private education and health services,2017-02,23016.0,0.3050640634533197
Private education and health services,2017-03,23051.0,0.15206812652068802
Private education and health services,2017-04,23103.0,0.22558674244066435
Private education and health services,2017-05,23147.0,0.19045145652079043
Private education and health services,2017-06,23167.0,0.08640428565256375
Private education and health services,2017-07,23232.0,0.2805715025683053
Private education and health services,2017-08,23255.0,0.09900137741047921
Private education and health services,2017-09,23287.0,0.13760481616855724
Private education and health services,2017-10,23309.0,0.09447331128955572
Private education and health services,2017-11,23352.0,0.18447809858852526
Private education and health services,2017-12,23384.0,0.13703323055840322
Private education and health services,2018-01,23440.0,0.23947998631543843
Private education and health services,2018-02,23495.0,0.23464163822526363
Private education and health services,2018-03,23524.0,0.1234305171313066
Private education and health services,2018-04,23545.0,0.08927053222240744
Private education and health services,2018-05,23591.0,0.1953705669993644
Private education and health services,2018-06,23616.0,0.10597261667584235
Private education and health services,2018-07,23641.0,0.10586043360434338
Private education and health services,2018-08,23689.0,0.20303709656952496
Private education and health services,2018-09,23711.0,0.09287010848917365
Private education and health services,2018-10,23755.0,0.185567879886972
Private education and health services,2018-11,23770.0,0.06314460113661102
Private education and health services,2018-12,23856.0,0.36180058897770095
Private education and health services,2019-01,23903.0,0.19701542588865806
Private education and health services,2019-02,23929.0,0.10877295736937409
Private education and health services,2019-03,23990.0,0.2549208073885145
Private education and health services,2019-04,24062.0,0.30012505210503804
Private education and health services,2019-05,24098.0,0.14961349846229766
Private education and health services,2019-06,24139.0,0.17013860071375397
Private education and health services,2019-07,24175.0,0.14913625253738516
Private education and health services,2019-08,24227.0,0.21509824198551186
Private education and health services,2019-09,24281.0,0.22289181491723653
Private education and health services,2019-10,24325.0,0.1812116469667613
Private education and health services,2019-11,24391.0,0.27132579650566147
Private education and health services,2019-12,24435.0,0.18039440777335436
Private education and health services,2020-01,24515.0,0.3273992224268385
Private education and health services,2020-02,24577.0,0.25290638384662945
Private education and health services,2020-03,24355.0,-0.9032835577979403
Private education and health services,2020-04,21751.0,-10.691849722849522
Private education and health services,2020-05,22159.0,1.8757758263987956
Private education and health services,2020-06,22713.0,2.500112820975686
Private education and health services,2020-07,22904.0,0.8409281028485927
Private education and health services,2020-08,23098.0,0.8470136220747548
Private education and health services,2020-09,23185.0,0.3766559875313824
Private education and health services,2020-10,23282.0,0.41837394867370037
Private education and health services,2020-11,23347.0,0.27918563697277854
Private education and health services,2020-12,23345.0,-0.008566411102073346
Private education and health services,2021-01,23356.0,0.0471192974941026
Private education and health services,2021-02,23427.0,0.3039904093166568
Private education and health services,2021-03,23538.0,0.47381226789602326
Private education and health services,2021-04,23575.0,0.15719262469198192
Private education and health services,2021-05,23622.0,0.19936373276776553
Private education and health services,2021-06,23640.0,0.07620015240030753
Private education and health services,2021-07,23688.0,0.20304568527917954
Private education and health services,2021-08,23703.0,0.0633232016210794
Private education and health services,2021-09,23696.0,-0.029532126735010156
Private education and health services,2021-10,23802.0,0.4473328831870349
Private education and health services,2021-11,23849.0,0.1974623981177981
Private education and health services,2021-12,23888.0,0.16352886913497677
Private education and health services,2022-01,23883.0,-0.020931011386471354
Private education and health services,2022-02,23996.0,0.4731398902985351
Private education and health services,2022-03,24053.0,0.2375395899316457
Private education and health services,2022-04,24107.0,0.22450421984783198
Private education and health services,2022-05,24179.0,0.29866843655370623
Private education and health services,2022-06,24265.0,0.35568054923693637
Private education and health services,2022-07,24400.0,0.5563568926437279
Private education and health services,2022-08,24469.0,0.28278688524590034
Private education and health services,2022-09,24542.0,0.2983366708896984
Private education and health services,2022-10,24637.0,0.38709151658382623
Private education and health services,2022-11,24726.0,0.36124528148719914
Private education and health services,2022-12,24773.0,0.19008331311169968
Private education and health services,2023-01,24906.0,0.5368748233964382
Private education and health services,2023-02,24968.0,0.24893599935758015
Private education and health services,2023-03,25030.0,0.24831784684395952
Private education and health services,2023-04,25109.0,0.31562125449460243
Private education and health services,2023-05,25200.0,0.3624198494563746
Private education and health services,2023-06,25277.0,0.3055555555555589
Private education and health services,2023-07,25386.0,0.43122205957986104
Private education and health services,2023-08,25479.0,0.3663436539825149
Private education and health services,2023-09,25560.0,0.31790886612503844
Private education and health services,2023-10,25637.0,0.30125195618153633
Private education and health services,2023-11,25747.0,0.42906736357608555
Private education and health services,2023-12,25831.0,0.3262516021284023
Financial activities,2014-01,7913.0,
Financial activities,2014-02,7932.0,0.2401112094022384
Financial activities,2014-03,7932.0,0.0
Financial activities,2014-04,7944.0,0.1512859304084735
Financial activities,2014-05,7951.0,0.08811681772407098
Financial activities,2014-06,7965.0,0.1760784806942528
Financial activities,2014-07,7980.0,0.18832391713747842
Financial activities,2014-08,7994.0,0.17543859649122862
Financial activities,2014-09,8009.0,0.18764073054791108
Financial activities,2014-10,8018.0,0.11237357972280204
Financial activities,2014-11,8036.0,0.22449488650535532
Financial activities,2014-12,8042.0,0.07466401194624606
Financial activities,2015-01,8059.0,0.2113902014424296
Financial activities,2015-02,8070.0,0.1364933614592445
Financial activities,2015-03,8081.0,0.13630731102849403
Financial activities,2015-04,8086.0,0.06187353050364219
Financial activities,2015-05,8097.0,0.13603759584466246
Financial activities,2015-06,8115.0,0.22230455724341347
Financial activities,2015-07,8134.0,0.2341343191620382
Financial activities,2015-08,8145.0,0.13523481681829708
Financial activities,2015-09,8152.0,0.08594229588705371
Financial activities,2015-10,8167.0,0.18400392541708666
Financial activities,2015-11,8182.0,0.18366597281742614
Financial activities,2015-12,8189.0,0.08555365436324625
Financial activities,2016-01,8207.0,0.21980705824886648
Financial activities,2016-02,8210.0,0.03655416108201415
Financial activities,2016-03,8226.0,0.19488428745433328
Financial activities,2016-04,8249.0,0.2796012642839685
Financial activities,2016-05,8265.0,0.19396290459450238
Financial activities,2016-06,8281.0,0.19358741681789748
Financial activities,2016-07,8304.0,0.2777442337881908
Financial activities,2016-08,8320.0,0.19267822736031004
Financial activities,2016-09,8327.0,0.08413461538461231
Financial activities,2016-10,8333.0,0.07205476161882274
Financial activities,2016-11,8344.0,0.1320052802112004
Financial activities,2016-12,8370.0,0.31160115052732973
Financial activities,2017-01,8397.0,0.3225806451612856
Financial activities,2017-02,8400.0,0.035727045373357136
Financial activities,2017-03,8407.0,0.08333333333332416
Financial activities,2017-04,8424.0,0.202212442012617
Financial activities,2017-05,8436.0,0.14245014245013454
Financial activities,2017-06,8452.0,0.1896633475580778
Financial activities,2017-07,8465.0,0.15380974917178492
Financial activities,2017-08,8476.0,0.12994683992912925
Financial activities,2017-09,8479.0,0.035394053798953884
Financial activities,2017-10,8482.0,0.03538153084090556
Financial activities,2017-11,8490.0,0.09431737797689355
Financial activities,2017-12,8496.0,0.07067137809186885
Financial activities,2018-01,8503.0,0.08239171374764265
Financial activities,2018-02,8527.0,0.2822533223568069
Financial activities,2018-03,8538.0,0.12900199366716603
Financial activities,2018-04,8546.0,0.09369875849145615
Financial activities,2018-05,8572.0,0.3042358998361916
Financial activities,2018-06,8590.0,0.20998600093327102
Financial activities,2018-07,8600.0,0.11641443538998875
Financial activities,2018-08,8612.0,0.13953488372093759
Financial activities,2018-09,8629.0,0.19739897816999363
Financial activities,2018-10,8643.0,0.16224359717231795
Financial activities,2018-11,8651.0,0.09256045354621989
Financial activities,2018-12,8661.0,0.11559357299735229
Financial activities,2019-01,8671.0,0.11546010853249467
Financial activities,2019-02,8683.0,0.13839234229038322
Financial activities,2019-03,8705.0,0.2533686513877642
Financial activities,2019-04,8723.0,0.20677771395749556
Financial activities,2019-05,8736.0,0.14903129657228842
Financial activities,2019-06,8749.0,0.14880952380953438
Financial activities,2019-07,8770.0,0.2400274317064799
Financial activities,2019-08,8787.0,0.19384264538198082
Financial activities,2019-09,8785.0,-0.02276089677932802
Financial activities,2019-10,8801.0,0.18212862834376953
Financial activities,2019-11,8814.0,0.1477104874446189
Financial activities,2019-12,8823.0,0.10211027910143056
Financial activities,2020-01,8838.0,0.1700102006120474
Financial activities,2020-02,8873.0,0.3960171984611849
Financial activities,2020-03,8853.0,-0.22540290769751392
Financial activities,2020-04,8589.0,-2.982039986445273
Financial activities,2020-05,8607.0,0.20957038071951484
Financial activities,2020-06,8622.0,0.17427675148136146
Financial activities,2020-07,8623.0,0.011598237067955708
Financial activities,2020-08,8646.0,0.2667285167575084
Financial activities,2020-09,8676.0,0.346981263011803
Financial activities,2020-10,8696.0,0.2305209774089434
Financial activities,2020-11,8706.0,0.11499540018400367
Financial activities,2020-12,8722.0,0.18378130025269446
Financial activities,2021-01,8733.0,0.12611786287548554
Financial activities,2021-02,8726.0,-0.08015573113477892
Financial activities,2021-03,8736.0,0.1146000458400076
Financial activities,2021-04,8752.0,0.1831501831501825
Financial activities,2021-05,8762.0,0.11425959780622108
Financial activities,2021-06,8768.0,0.06847751654872614
Financial activities,2021-07,8803.0,0.3991788321167977
Financial activities,2021-08,8821.0,0.20447574690445336
Financial activities,2021-09,8848.0,0.3060877451536159
Financial activities,2021-10,8880.0,0.3616636528029016
Financial activities,2021-11,8910.0,0.33783783783782884
Financial activities,2021-12,8938.0,0.3142536475869706
Financial activities,2022-01,8935.0,-0.033564555829046494
Financial activities,2022-02,8983.0,0.537213206491316
Financial activities,2022-03,9002.0,0.21151063119224656
Financial activities,2022-04,9038.0,0.399911130859798
Financial activities,2022-05,9051.0,0.1438371321088816
Financial activities,2022-06,9058.0,0.07733952049497894
Financial activities,2022-07,9073.0,0.16559947008170095
Financial activities,2022-08,9089.0,0.1763474043866342
Financial activities,2022-09,9095.0,0.06601386291120726
Financial activities,2022-10,9123.0,0.3078614623419407
Financial activities,2022-11,9134.0,0.12057437246519864
Financial activities,2022-12,9145.0,0.12042916575432105
Financial activities,2023-01,9145.0,0.0
Financial activities,2023-02,9146.0,0.010934937124118527
Financial activities,2023-03,9150.0,0.04373496610539096
Financial activities,2023-04,9179.0,0.3169398907103771
Financial activities,2023-05,9192.0,0.1416276282819373
Financial activities,2023-06,9201.0,0.0979112271540572
Financial activities,2023-07,9219.0,0.19563090968373054
Financial activities,2023-08,9223.0,0.04338865386701585
Financial activities,2023-09,9223.0,0.0
Financial activities,2023-10,9223.0,0.0
Financial activities,2023-11,9227.0,0.043369836278861484
Financial activities,2023-12,9233.0,0.06502655250895106
Leisure and hospitality,2014-01,14489.0,
Leisure and hospitality,2014-02,14509.0,0.13803575125956868
Leisure and hospitality,2014-03,14564.0,0.37907505686125553
Leisure and hospitality,2014-04,14614.0,0.3433122768470298
Leisure and hospitality,2014-05,14670.0,0.3831941973450048
Leisure and hospitality,2014-06,14693.0,0.15678254942057546
Leisure and hospitality,2014-07,14703.0,0.06805962022731205
Leisure and hospitality,2014-08,14725.0,0.14962932734816636
Leisure and hospitality,2014-09,14768.0,0.29202037351443444
Leisure and hospitality,2014-10,14811.0,0.29117009750811995
Leisure and hospitality,2014-11,14849.0,0.25656606576194285
Leisure and hospitality,2014-12,14892.0,0.2895817900195219
Leisure and hospitality,2015-01,14915.0,0.15444533977975183
Leisure and hospitality,2015-02,14972.0,0.3821656050955413
Leisure and hospitality,2015-03,14981.0,0.06011220945765228
Leisure and hospitality,2015-04,15023.0,0.2803551164808793
Leisure and hospitality,2015-05,15103.0,0.5325168075617448
Leisure and hospitality,2015-06,15108.0,0.03310600542938413
Leisure and hospitality,2015-07,15168.0,0.3971405877680745
Leisure and hospitality,2015-08,15201.0,0.21756329113924444
Leisure and hospitality,2015-09,15279.0,0.5131241365699646
Leisure and hospitality,2015-10,15316.0,0.24216244518620034
Leisure and hospitality,2015-11,15374.0,0.378688952729167
Leisure and hospitality,2015-12,15406.0,0.2081436190971786
Leisure and hospitality,2016-01,15454.0,0.3115669219784456
Leisure and hospitality,2016-02,15494.0,0.2588326646822736
Leisure and hospitality,2016-03,15535.0,0.26461856202399936
Leisure and hospitality,2016-04,15562.0,0.17380109430318313
Leisure and hospitality,2016-05,15583.0,0.13494409458938428
Leisure and hospitality,2016-06,15639.0,0.35936597574279805
Leisure and hospitality,2016-07,15679.0,0.25577082933692097
Leisure and hospitality,2016-08,15725.0,0.29338605778430615
Leisure and hospitality,2016-09,15785.0,0.3815580286168574
Leisure and hospitality,2016-10,15780.0,-0.03167564143173873
Leisure and hospitality,2016-11,15826.0,0.2915082382763057
Leisure and hospitality,2016-12,15845.0,0.1200556047011192
Leisure and hospitality,2017-01,15874.0,0.18302303565793654
Leisure and hospitality,2017-02,15917.0,0.27088320524126797
Leisure and hospitality,2017-03,15941.0,0.15078218257209564
Leisure and hospitality,2017-04,16006.0,0.40775359136817624
Leisure and hospitality,2017-05,16046.0,0.24990628514307556
