Industry,Year-Month,Value,percentage change
Accommodation and food services,2014-01,12409.7,
Accommodation and food services,2014-02,12423.3,0.10959169037123573
Accommodation and food services,2014-03,12486.3,0.5071116370046536
Accommodation and food services,2014-04,12527.7,0.33156339347926167
Accommodation and food services,2014-05,12566.7,0.3113101367369975
Accommodation and food services,2014-06,12595.8,0.2315643725082861
Accommodation and food services,2014-07,12602.8,0.05557408024896571
Accommodation and food services,2014-08,12628.3,0.20233598882788417
Accommodation and food services,2014-09,12661.9,0.2660690670953425
Accommodation and food services,2014-10,12689.3,0.2163972231655542
Accommodation and food services,2014-11,12722.9,0.26479001993806595
Accommodation and food services,2014-12,12763.1,0.3159656996439608
Accommodation and food services,2015-01,12790.7,0.21624840360101594
Accommodation and food services,2015-02,12843.2,0.41045447082646014
Accommodation and food services,2015-03,12848.4,0.040488351812628665
Accommodation and food services,2015-04,12880.4,0.24905824849785763
Accommodation and food services,2015-05,12924.4,0.34160429800316194
Accommodation and food services,2015-06,12947.6,0.17950543158677945
Accommodation and food services,2015-07,13003.6,0.43251258920571356
Accommodation and food services,2015-08,13031.9,0.21763204035805117
Accommodation and food services,2015-09,13086.0,0.41513516831774844
Accommodation and food services,2015-10,13133.2,0.36069081461103103
Accommodation and food services,2015-11,13174.9,0.31751591386712796
Accommodation and food services,2015-12,13210.7,0.2717288176760535
Accommodation and food services,2016-01,13261.7,0.3860507013254466
Accommodation and food services,2016-02,13287.8,0.19680734747429263
Accommodation and food services,2016-03,13310.8,0.17309110612742096
Accommodation and food services,2016-04,13328.4,0.13222345764341004
Accommodation and food services,2016-05,13352.4,0.18006662465113177
Accommodation and food services,2016-06,13386.8,0.257631586830831
Accommodation and food services,2016-07,13408.7,0.16359398810770198
Accommodation and food services,2016-08,13449.4,0.30353427252454157
Accommodation and food services,2016-09,13517.5,0.5063422903623938
Accommodation and food services,2016-10,13507.5,-0.0739781764379499
Accommodation and food services,2016-11,13533.2,0.19026466777716244
Accommodation and food services,2016-12,13560.2,0.19950935477197618
Accommodation and food services,2017-01,13586.4,0.1932124894912901
Accommodation and food services,2017-02,13621.8,0.2605546723193797
Accommodation and food services,2017-03,13653.9,0.2356516759899563
Accommodation and food services,2017-04,13691.1,0.2724496297761059
Accommodation and food services,2017-05,13713.0,0.1599579288734887
Accommodation and food services,2017-06,13732.4,0.14147159629547268
Accommodation and food services,2017-07,13768.1,0.25996912411523354
Accommodation and food services,2017-08,13784.2,0.11693697750596588
Accommodation and food services,2017-09,13789.5,0.038449819358388204
Accommodation and food services,2017-10,13776.1,-0.09717538706986995
Accommodation and food services,2017-11,13808.1,0.23228635099918904
Accommodation and food services,2017-12,13829.9,0.15787834676748158
Accommodation and food services,2018-01,13844.5,0.10556836998099062
Accommodation and food services,2018-02,13866.5,0.1589078695510837
Accommodation and food services,2018-03,13868.4,0.013702087765476989
Accommodation and food services,2018-04,13867.6,-0.005768509705517122
Accommodation and food services,2018-05,13886.5,0.13628890363148738
Accommodation and food services,2018-06,13917.0,0.2196377776977565
Accommodation and food services,2018-07,13935.5,0.13293094776172243
Accommodation and food services,2018-08,13941.8,0.045208281008934925
Accommodation and food services,2018-09,13937.4,-0.03155976990057985
Accommodation and food services,2018-10,13946.6,0.06600944222021621
Accommodation and food services,2018-11,13967.6,0.1505743335293186
Accommodation and food services,2018-12,14017.6,0.35797130502019936
Accommodation and food services,2019-01,14068.1,0.3602613856865666
Accommodation and food services,2019-02,14073.5,0.038384714353756344
Accommodation and food services,2019-03,14073.6,0.0007105552989772335
Accommodation and food services,2019-04,14098.3,0.17550591177806218
Accommodation and food services,2019-05,14072.0,-0.18654731421517967
Accommodation and food services,2019-06,14070.7,-0.009238203524719601
Accommodation and food services,2019-07,14082.5,0.08386221012457451
Accommodation and food services,2019-08,14155.8,0.5205041718444825
Accommodation and food services,2019-09,14221.1,0.461295016883545
Accommodation and food services,2019-10,14274.9,0.37831110111030686
Accommodation and food services,2019-11,14301.9,0.1891431813883182
Accommodation and food services,2019-12,14336.1,0.2391290667673518
Accommodation and food services,2020-01,14338.0,0.01325325576690961
Accommodation and food services,2020-02,14408.4,0.4910029292788387
Accommodation and food services,2020-03,13751.5,-4.559146053690899
Accommodation and food services,2020-04,7508.9,-45.395775006362946
Accommodation and food services,2020-05,8741.8,16.41918257001691
Accommodation and food services,2020-06,10344.4,18.332608844860342
Accommodation and food services,2020-07,10872.9,5.109044507172955
Accommodation and food services,2020-08,11009.8,1.2590937100497523
Accommodation and food services,2020-09,11365.4,3.229849770204729
Accommodation and food services,2020-10,11582.6,1.911063402959856
Accommodation and food services,2020-11,11472.0,-0.9548805967572127
Accommodation and food services,2020-12,11069.8,-3.5059274755927516
