Industry,Year-Month,Value,percentage change
Goods-producing,2014-01,18937,
Goods-producing,2014-02,18988,0.2693140412948214
Goods-producing,2014-03,19037,0.2580577206656942
Goods-producing,2014-04,19103,0.3466932815044288
Goods-producing,2014-05,19141,0.19892163534522833
Goods-producing,2014-06,19194,0.2768925343503481
Goods-producing,2014-07,19264,0.3646973012399801
Goods-producing,2014-08,19316,0.269933554817281
Goods-producing,2014-09,19371,0.28473804100228595
Goods-producing,2014-10,19419,0.24779309276754535
Goods-producing,2014-11,19456,0.19053504299912927
Goods-producing,2014-12,19481,0.128495065789469
Goods-producing,2015-01,19499,0.09239772085622988
Goods-producing,2015-02,19537,0.19488178880968654
Goods-producing,2015-03,19505,-0.163791779700051
Goods-producing,2015-04,19553,0.2460907459625794
Goods-producing,2015-05,19581,0.14320053188769943
Goods-producing,2015-06,19592,0.056176906184557396
Goods-producing,2015-07,19627,0.17864434463046308
Goods-producing,2015-08,19629,0.010190044326696679
Goods-producing,2015-09,19641,0.061134036374754785
Goods-producing,2015-10,19680,0.19856422789064077
Goods-producing,2015-11,19711,0.157520325203242
Goods-producing,2015-12,19738,0.13697935163106134
Goods-producing,2016-01,19746,0.0405309555172817
Goods-producing,2016-02,19716,-0.15192950470981348
Goods-producing,2016-03,19711,-0.025360113613304147
Goods-producing,2016-04,19732,0.10653949571304278
Goods-producing,2016-05,19687,-0.2280559497263357
Goods-producing,2016-06,19708,0.10666937573018398
Goods-producing,2016-07,19758,0.2537040795616008
Goods-producing,2016-08,19731,-0.13665350744002103
Goods-producing,2016-09,19760,0.1469768384775305
Goods-producing,2016-10,19788,0.1417004048583026
Goods-producing,2016-11,19812,0.12128562765312267
Goods-producing,2016-12,19821,0.045427013930954274
Goods-producing,2017-01,19854,0.1664900862721419
Goods-producing,2017-02,19916,0.3122796413820961
Goods-producing,2017-03,19954,0.19080136573608186
Goods-producing,2017-04,19985,0.15535732184022155
Goods-producing,2017-05,20015,0.1501125844383333
Goods-producing,2017-06,20063,0.23982013489882714
Goods-producing,2017-07,20072,0.04485869511039464
Goods-producing,2017-08,20154,0.40852929453965015
Goods-producing,2017-09,20177,0.11412126624987806
Goods-producing,2017-10,20209,0.1585964216682445
Goods-producing,2017-11,20266,0.2820525508436811
Goods-producing,2017-12,20317,0.25165301490179814
Goods-producing,2018-01,20354,0.18211350100900692
Goods-producing,2018-02,20474,0.589564704726353
Goods-producing,2018-03,20518,0.21490671095047986
Goods-producing,2018-04,20565,0.22906716054196252
Goods-producing,2018-05,20657,0.44736202285435844
Goods-producing,2018-06,20713,0.2710945442222945
Goods-producing,2018-07,20759,0.2220827499637812
Goods-producing,2018-08,20811,0.25049376174188787
Goods-producing,2018-09,20858,0.22584210273413063
Goods-producing,2018-10,20898,0.19177294083805307
Goods-producing,2018-11,20900,0.00957029380801444
Goods-producing,2018-12,20935,0.16746411483252732
Goods-producing,2019-01,21000,0.31048483401003857
Goods-producing,2019-02,20955,-0.2142857142857113
Goods-producing,2019-03,20990,0.16702457647339575
Goods-producing,2019-04,21028,0.1810385898046718
Goods-producing,2019-05,21030,0.00951112801979015
Goods-producing,2019-06,21058,0.1331431288635221
Goods-producing,2019-07,21079,0.09972457023459391
Goods-producing,2019-08,21077,-0.009488116134537261
Goods-producing,2019-09,21090,0.061678607012383146
Goods-producing,2019-10,21044,-0.21811284969179834
Goods-producing,2019-11,21065,0.09979091427485542
Goods-producing,2019-12,21021,-0.20887728459529908
Goods-producing,2020-01,21054,0.15698587127157548
Goods-producing,2020-02,21079,0.11874228175168255
Goods-producing,2020-03,20943,-0.6451918971488224
Goods-producing,2020-04,18565,-11.3546292317242
Goods-producing,2020-05,19256,3.7220576353353074
Goods-producing,2020-06,19716,2.3888658080598146
Goods-producing,2020-07,19780,0.3246094542503464
Goods-producing,2020-08,19832,0.26289180990899386
Goods-producing,2020-09,19913,0.4084308188785801
Goods-producing,2020-10,19980,0.336463616732785
Goods-producing,2020-11,20027,0.2352352352352316
Goods-producing,2020-12,20106,0.39446746891695916
Goods-producing,2021-01,20100,-0.029841838257238518
Goods-producing,2021-02,20054,-0.22885572139303978
Goods-producing,2021-03,20232,0.8876034706293057
Goods-producing,2021-04,20194,-0.18782127323052622
Goods-producing,2021-05,20214,0.099039318609484
Goods-producing,2021-06,20231,0.08410012862372085
Goods-producing,2021-07,20328,0.47946221145767076
Goods-producing,2021-08,20395,0.3295946477764655
Goods-producing,2021-09,20480,0.41676881588623704
Goods-producing,2021-10,20580,0.48828125
Goods-producing,2021-11,20668,0.42759961127307733
Goods-producing,2021-12,20749,0.3919101993419716
Goods-producing,2022-01,20764,0.07229264060919505
Goods-producing,2022-02,20903,0.6694278559044475
Goods-producing,2022-03,21011,0.5166722480026698
Goods-producing,2022-04,21069,0.2760458807291366
Goods-producing,2022-05,21129,0.2847785846504358
Goods-producing,2022-06,21182,0.2508400776184416
Goods-producing,2022-07,21252,0.33046926635822427
Goods-producing,2022-08,21291,0.18351214003387017
Goods-producing,2022-09,21340,0.23014419238176487
Goods-producing,2022-10,21387,0.22024367385191645
Goods-producing,2022-11,21420,0.15429934072099805
Goods-producing,2022-12,21448,0.13071895424836555
Goods-producing,2023-01,21494,0.21447221186123855
Goods-producing,2023-02,21520,0.12096398995067315
Goods-producing,2023-03,21508,-0.05576208178438291
Goods-producing,2023-04,21541,0.1534312813836758
Goods-producing,2023-05,21555,0.06499234018848554
Goods-producing,2023-06,21597,0.1948503827418291
Goods-producing,2023-07,21604,0.0324119090614472
Goods-producing,2023-08,21637,0.15274949083503575
Goods-producing,2023-09,21664,0.12478624578269315
Goods-producing,2023-10,21654,-0.04615952732643924
Goods-producing,2023-11,21690,0.16625103906899863
Goods-producing,2023-12,21723,0.15214384508990264
Service-providing,2014-01,118614,
Service-providing,2014-02,118722,0.0910516465172817
Service-providing,2014-03,118950,0.1920452822560259
Service-providing,2014-04,119195,0.2059688944934912
Service-providing,2014-05,119359,0.13758966399597394
Service-providing,2014-06,119639,0.23458641577089878
Service-providing,2014-07,119812,0.14460167671077606
Service-providing,2014-08,119941,0.10766868093345927
Service-providing,2014-09,120193,0.21010330078956585
Service-providing,2014-10,120385,0.15974307987987046
Service-providing,2014-11,120632,0.20517506333845859
Service-providing,2014-12,120885,0.20972876185423317
Service-providing,2015-01,121063,0.1472473838772359
Service-providing,2015-02,121294,0.1908097436871703
Service-providing,2015-03,121420,0.10387982917539063
Service-providing,2015-04,121649,0.1886015483445913
Service-providing,2015-05,121958,0.25400948630898146
Service-providing,2015-06,122103,0.11889338952755235
Service-providing,2015-07,122362,0.21211600042587708
Service-providing,2015-08,122501,0.11359735865710263
Service-providing,2015-09,122624,0.10040734361351777
Service-providing,2015-10,122904,0.22834029227556396
Service-providing,2015-11,123099,0.15866041788712426
Service-providing,2015-12,123345,0.19983915385177742
Service-providing,2016-01,123450,0.0851270825732664
Service-providing,2016-02,123695,0.19846091535034027
Service-providing,2016-03,123955,0.21019442984759884
Service-providing,2016-04,124124,0.136339800734131
Service-providing,2016-05,124214,0.07250813702426306
Service-providing,2016-06,124444,0.18516431320141358
Service-providing,2016-07,124757,0.2515187554241294
Service-providing,2016-08,124933,0.14107424833877946
Service-providing,2016-09,125201,0.21451498002929004
Service-providing,2016-10,125281,0.06389725321682693
Service-providing,2016-11,125376,0.07582953520486324
Service-providing,2016-12,125589,0.16988897396630342
Service-providing,2017-01,125782,0.1536758792569426
Service-providing,2017-02,125932,0.11925394730565309
Service-providing,2017-03,126022,0.07146714099672824
Service-providing,2017-04,126188,0.13172303248638606
Service-providing,2017-05,126374,0.1473991187751711
Service-providing,2017-06,126525,0.11948660325700189
Service-providing,2017-07,126700,0.13831258644536604
Service-providing,2017-08,126753,0.04183109707971422
Service-providing,2017-09,126822,0.05443658138268859
Service-providing,2017-10,126937,0.09067827348567814
